那是我的台词！	That's MY line!
這裏附近有沒有加油站？	Is there a gas station around here?
這棟別墅的主人是誰？	Who owns this villa?
這句句子的文法是對的。	This sentence is grammatically correct.
故事裏發生的事都是虛構出來的。	All the events described in this story are imaginary.
這個故事的女主角是一個小女孩。	The heroine of this story is a little girl.
把你的姓名和地址寫在這個信封上。	Write your name and address on this envelope.
這個房間有空調。	This room is air-conditioned.
這房間是老師專用的。	This room is used by teachers.
你不觉得这房里的冷气太强了吗？	Don't you think the air conditioner is turned up too high in here?
谁负责这个部门？	Who's in charge of this section?
這間醫院有很多新設備。	This hospital has a lot of new equipment.
泳池是對公眾開放的。	The swimming pool is open to the public.
博物館入場費是三十美元。	Admission to the museum is thirty dollars.
請你用這個電話號碼聯絡我。	Please call me at this number.
這發明是多年來耐心實驗的成果。	This invention was the result of years of patient experiment.
這個發現將會在歷史上留下光輝的一頁。	This discovery will be recorded in history.
這個箱子裏裝滿了蘋果。	This box is filled with apples.
這塊肉烤得不錯。	This meat is roasted well.
請把內容濃縮至六十個英文字以內。	Summarize the contents in 60 English words.
请顺着这条路一直往前走。	Go straight ahead along this street.
從這塔上可以看到城市的全貌。	This tower commands a full view of the city.
讓土地閒置著很浪費。	It's wasteful to leave the land lying idle.
这个城市被称为日本的丹麦。	This city is called the Japanese Denmark.
這個論點值得強調。	This point deserves special emphasis.
在這一點上意見不一。	Opinion is divided on this point.
這小鎮的天氣十分暖和，即使是在盛夏，溫度計也很少會升到三十度。	The climate of this town is so mild that the thermometer seldom rises to thirty degrees, even in midsummer.
這城市每三個人中有一個擁有自己的車。	One out of three persons in this city has his own car.
這地區發生了山火。	A forest fire broke out in this area.
這篇新聞對我們來說很重要。	This news is important to us.
這一個段落是模糊不清的。	This paragraph is vague.
我不懂這個字。	I don't understand this word.
這座村沒有空氣污染。	This village is free from air pollution.
這座村裏沒有工廠。	There is no factory in this village.
這條村的東西比我們村的便宜多了。	The things in this village are cheaper than those in ours.
這噪音很煩人。	This noise is annoying.
有了這個裝置，把海水淨化成淡水就不是難事了。	This device made it possible to turn sea-water into fresh water easily.
你上次去京都是甚麼時候？	When did you visit Kyoto last?
上次來吃的時候是很美味的。	Their food was great last time.
我記起上次見到她時，她也是穿著這條裙子的。	I found that she wore the same dress that I had seen her wear last time.
這場戰役讓拿破崙稱霸了整個歐洲。	This battle left Napoleon master of Europe.
在这条河里游泳很安全。	This river is safe to swim in.
這條河寬一英里。	This river is one mile across.
前面有危險。	Danger ahead.
这顶红帽子很衬她的裙子。	This red hat corresponds well to her dress.
你能舉起這塊石頭嗎？	Can you lift this stone?
这个系统存在着许多缺陷和不尽完善的地方。	This system is bristling with defects and drawbacks.
這水很好喝。	This water tastes good.
這本偵探小說我才看到一半。	I am halfway through this detective story.
這間圖書館有任何英語雜誌嗎?	Are there any English magazines in this library?
请填好这张申请表。	Please fill in this application form.
這食物中含有所有的礦物質, 若沒有這些礦物質我們的身體將無法正常運作。	This food contains all the minerals without which our bodies would not function.
这外套是什么材料作的？	What stuff is this jacket made of?
這種癥狀在我身上將會持續多久？	How long will I have this?
这本小说的作者是谁？	Who is the author of this story?
这是那个昨天来的女孩。	This is the girl that came yesterday.
這個表格好像有點複雜，你可以幫我填嗎？	This form looks kind of complicated. Help me fill it out.
這把槍是屬於誰的?	Who does the gun belong to?
我們需要人力仲介公司幫我們找到合適的人來擔任這個管理職位。	We'll need a head hunting agency to find the right man for this executive position.
這個秋季有很多颱風。	We have had lots of typhoons this fall.
這封信一定要用英文寫嗎？	Must this letter be written in English?
他現在這個年紀，就已經在國際比賽中取勝，前途實在無可限量。	His victory at this age in an international competition is a good indication of a bright future.
摸這條蛇安全嗎?	Is this snake safe to touch?
這輛車沒有以前跑得那麼順暢了。	This car is running less smoothly than it used to.
这张照片让我想起童年的快乐时光。	This photograph reminds me of enjoyable times when I was a child.
你能回答這條問題嗎？	Can you answer this question?
你介意我用這本字典嗎？	Would you mind my using this dictionary?
这只火鸡味道很好。	This turkey tastes good.
这本字典包含了约4万个词条。	This dictionary contains about 40,000 headwords.
這本字典的例句十分淺白易懂。	The examples in this dictionary are easy to understand.
我想用这块手表换一块便宜一点的。	I would like to exchange this watch with a cheaper one.
這個時鐘似乎壞了。	This clock seems to be malfunctioning.
這手錶有防震功能。	This watch is proof against strong shock.
我打算把這塊手錶送給你。	This watch is meant for you.
他們保證這個時鐘可用一年。	They guarantee this clock for a year.
這塊手錶很準。	This watch keeps correct time.
此事必有隐情。	There must be something at the back of this matter.
我為這次考試好好準備了一番。	I prepared well for this examination.
我不相信孩子能独自到东京。	I don't believe the child came to Tokyo alone.
这个工作没有酬劳。	This work doesn't pay.
我怕這項工作會佔用我大部份的時間。	I fear this work will take up most of my time.
這座山的景色非常美。	This mountain scenery is very beautiful.
爬这座山很困难。	Climbing this mountain is very difficult.
這個國家的氣候很溫和。	This country has a mild climate.
這個國家的人口粗略估計是五千萬左右。	The population of the country is roughly estimated at 50,000,000.
這個課程能幫助你掌握正確發音。	This course will help you master correct pronunciation.
這個字是希臘語衍生出來的。	This word is derived from Greek.
這隻狗是雜種狗。	This dog is a mongrel.
我要和Marty讨论一下，看看他怎么想。	I'll talk it over with Marty and see what he thinks.
這樣的話，我想他是對的。	In this case, I think he is correct.
這個計劃必須保持秘密。	This plan requires secrecy.
这个项目我大致了解。	I know about this project for the most part.
這雙鞋子不合我的腳。	This pair of shoes doesn't fit me.
据说这个区域埋着财宝。	It is said that treasure is buried in this area.
你可以介紹一間附近的好餐廳嗎？	Could you recommend a nice restaurant near here.
這座橋看起來很安全。	This bridge looks secure.
這間班房只能容納三十個學生。	This classroom can accommodate only thirty students.
這本教科書對我來說太深了。	This textbook is too hard for me.
在這麼急的急流裏游泳，一定會很危險的。	It must be dangerous to swim in this rapid stream.
這個議案合符我們的政策內容。	This measure is in accord with our policy.
我不知道這個符號代表什麼意思。	I don't know what this symbol stands for.
有些情況之下，這條規則不能成立。	There are some cases where the rule does not hold good.
這台機器太重了，我拿不動。	This machine is too heavy for me to carry.
這台機器很容易操作。	This machine is easy to handle.
我覺得這張桌子低了點。	This desk is a little low for me.
這張桌子被 Tom 用過。	This desk is used by Tom.
這家公司生產電腦晶片。	This company manufactures computer chips.
我們必須從財政方面考慮一下這個計劃。	We must consider the financial aspects of this project.
上次颳颱風時，風速超過了 200 公里每小時！	In the last typhoon, the wind blew at over 200 kilometers per hour!
我前幾天收到了你的傳真。	I got your fax the other day.
这个学校有很多学生。	This school has many students.
除了英语，这个学校的所有学生必须多学一门外语。	Any student of this school must learn one more foreign language besides English.
這幅畫是誰畫的?	By whom was this picture painted?
我不太適應在這間公司工作。	I felt like a fish out of water at this firm.
这家公司的老板是谁？	Who is the boss of this company?
這間公司的工作日為星期一到星期五。	Monday through Friday are work-days in this company.
我想將這些寄送到日本。	I'd like to send these to Japan.
请小心别打碎了这个花瓶。	Please take care not to break this vase.
這些花比別的花早開花。	These flowers bloom earlier than others do.
這朵花是黃色的，但是其他全都是藍色的。	This flower is yellow, but all the others are blue.
這首歌勾起了我童年的回憶。	This song reminds me of my childhood.
這首歌在七十年代很流行。	This song was popular in the 1970s.
這間房子要維修了。	This house must be done up.
这是山田先生的家。	This house belongs to Mr Yamada.
這棟房子是那棟的兩倍大。	This house is as large again as that one.
這支鉛筆有多長？	How long is this pencil?
沒有人看了這部電影會不感動的。	Nobody can see this movie without being moved.
我覺得這部電影值得一看再看。	I think it is worthwhile to see this film twice.
我真的很討厭這種下雨天。	I am fed up with this wet weather.
雨会下多久？	How long will this rain go on?
在雨中走出去是不可能的。	Going out in this rain is out of the question.
不用麻煩在這樣的雨天來。	Don't bother coming in this rain.
謝謝你大老遠在這樣的雨天來。	Thank you for coming all the way in this rain.
這種飲料是免費招待的。	This drink is on the house.
我叫這個機器人做甚麼，它就做甚麼。我累得不想動的時候，它就很幫得上忙。- 這種事不太可能吧？	This robot does whatever I say. That's a big help when I'm too tired to do anything. Not too likely, huh?
這餐廳的服務一點效率也沒有。	The service in this restaurant is none too fast.
這個蘋果是最好吃的。	This is the most delicious apple.
这盏灯发出了一个强大的光束。	This lamp sends out a powerful beam.
这牛奶有特殊的气味。	This milk has a peculiar smell.
這家酒店可以容納一千人。	This hotel has accommodations for 1000 guests.
這間酒店的交通位置很方便。	This hotel is conveniently located in terms of public transportation.
在這間酒店房間裏，你可以聽見海的聲音。	You can hear the sound of the sea in this hotel room.
這支筆是我的。	This pen belongs to me.
我保證在一個星期內把這盤錄影帶還給你。	I promise to return this videotape within a week.
這本護照的有用期限為五年。	This passport is valid for five years.
這輛巴士可以載五十個人。	This bus can hold fifty people.
這輛公車會載你去博物館。	This bus will take you to the museum.
這條領帶多少錢？	How much is this tie?
這條領帶和那件上衣很配。	This tie and that jacket go well together.
這刀不鋒利。	The knife is not sharp.
這把刀不夠鋒利。	This knife won't cut well.
那條裙子看起來很昂貴。	That dress seems to be very expensive.
我們要連勝七局，才能在這場錦標賽中奪得冠軍。	We have to win seven times in a row to win this tournament.
這扇門打不開。	This door will not open.
這台電視機是十年前製造的, 現在已經沒有零件可換, 所以要修理它是不可能的事了。	This TV was made ten years ago and there are no parts available, so it is impossible to repair it.
这个磁带录音机不是新的。	This tape recorder is not new.
这张桌子是木制的。	This table is made of wood.
這張桌子不錯，不過有一個美中不足的地方 ﹣ 我的房間放不下它。	This table is fine except in one respect - it will not fit into my room.
这颗钻石不是真的。	This diamond is not real.
我覺得這鑽石戒指太奢侈了。	This diamond ring is too extravagant for me.
有人在這張沙發上睡過。	Somebody has been sleeping on this sofa.
這碗湯大鹹了，喝不下。	This soup is too salty to eat.
這間游泳學校每個月的學費是多少？	How much is the monthly fee of this swimming school?
这件衬衫我不喜欢。把另外一件给我看一下。	I don't like this shirt. Show me another.
请保密。	Please keep this a secret.
這件外套挺不錯，但是太貴了。	This coat is nice, but too expensive.
這件外套沒有口袋。	This coat hasn't pockets.
这蛋糕吃起来不同一般。	The cake tastes divine!
這班有三十五個學生。	This class is made up of thirty-five pupils.
這個手袋是我的。	This bag is mine.
祂到自己的地方來，自己的人卻不接受祂。	He came to that which was his own, but his own did not receive him.
他就是我昨晚提過的那位醫生。	This is the doctor whom I spoke of last night.
請在這個櫃位付款。	Please pay at this counter.
這個柳橙太酸了。	There is too much acid in this orange.
這張椅子坐得很舒服。	I feel quite at ease when I sit in this chair.
這裏附近有沒有郵政局？	Is there a post office around here?
我買了這件減價的汗衫。	I bought this T-shirt on sale.
這兩天我沒時間洗碗，現在廚房已經堆滿了碗碗碟碟。	I haven't had time to do the dishes for two days; they are in a pile in the kitchen sink.
玻璃杯內裝滿了牛奶。	The glass is full of milk.
能不能请你拿着这端？	Will you please hold this edge?
這是我女兒。	This is my daughter.
這個比較漂亮。	This one is prettier.
這幾年的天氣很反常。	We've been having strange weather the past few years.
這裏晚上很靜。	It is quiet here at night.
可可不是一隻普通的猩猩。	Koko is not an ordinary gorilla.
這裡的土壤肥沃。	The soil here is fertile.
這裏就是我出生、長大的地方了。	This is where I was born and brought up.
這地方交通不方便。	This place isn't convenient to public transportation.
這裡有什麼景點?	What are the points of interest here?
我來到這裏以後，一直過著單調乏味的生活。	Life has been so flat since I came here.
這裡有個裝滿蔬菜的籃子。	Here is a basket full of vegetables.
你在這裏住多久了？	How long have you lived here?
並不是每個住在這裡的人都是富有的。	Not everyone who lives here is rich.
你正在找的書在這裡。	Here is the book you are looking for.
她不得不待在这儿。	She has had to stay here.
我們別在這裏等了，還是快點回家吧。	We had better go home rather than wait here.
這裡製造的葡萄酒非常有名。	Wine made here is very famous.
你介意我在這裏抽煙嗎？	Would you mind me smoking here?
在这里见到您真是太好了。	It was nice meeting you here.
在這裡我必須脫鞋嗎?	Do I have to take off my shoes here?
不要在這裏跑來跑去。	Don't run here.
你不應在這裏吸煙。	You are not supposed to smoke here.
魚在這裡是以磅為單位來出售。	Fish is sold by the pound here.
在這裏我們整年都能享受到滑雪的樂趣。	We can enjoy skiing here all the year round.
那个丑男人在节食，这个我们知道就好。	Between you and me, the fat ugly man is on a diet.
你就只告诉我一个人，你对她的意见如何？	Between you and me, what is your opinion of her?
他和老板有矛盾，这个我们知道就好。	Between you and me, he's in trouble with the boss.
我就只告诉你，他是个大胃王。	This is just between you and me, he is a big eater.
我就只告诉你，他靠不住。	Between you and me, he cannot be relied upon.
我觉得我们老板很蠢，这我就只跟你说。	Between you and me, I think our boss is stupid.
我就只告诉你，我补喜欢我们的新队长。	Between you and me, I don't like our new team captain.
汤姆的主意我不太感兴趣，这个我们之间说说就好。	Between you and me, Tom's idea doesn't appeal to me very much.
圖書館離這裏有多遠？	How far is it to the library from here?
這裏離上野有多遠？	How far is it from here to Ueno?
從這裡到倫敦要八英里。	It's eight miles from here to London.
离这儿有多远？	How far is it from here?
這裏就是意外現場了。	This is the place where the incident happened.
這裡是黑斯廷斯戰役發生的地方。	This is the place where the battle of Hastings took place.
一般來說，你應該為每兩個客人準備一磅牛肉。	As a rule of thumb, you should plan on one pound of beef for every two guests.
去買三瓶可樂。	Go and buy three bottles of coke.
恐怕咖啡已經喝完了。	I'm afraid there isn't any coffee left.
喝咖啡傷胃。	Coffee does harm to your stomach.
你喜歡甚麼口味的咖啡？濃的黑咖啡？	How do you like your coffee? Strong and black?
我不太喜欢喝咖啡。	I don't care much for coffee.
你應該把大衣穿上。	You should put your coat on.
我就是這樣把機器造出來的。	This is how I made the machine.
他就是这么杀了那头大熊。	This is how he killed the big bear.
這種說明書應該寫得簡單易懂一點。	Such manuals should be written in simpler language.
讓我們擲幣決定?	Let's toss up for it?
肯每天早上自己整理床舖。	Ken makes his own bed every morning.
Ken 在爸爸生日的那天買了一瓶上好的酒送給他。	Ken bought a fine wine for his father on his birthday.
肯想要一輛腳踏車。	Ken wants a bicycle.
肯收集古錢幣。	Ken collects old coins.
Ken 不小心上錯了巴士。	Ken took the wrong bus by mistake.
肯喜歡露營。	Ken likes camping.
肯有一把吉他。	Ken has a guitar.
肯已經抵達京都。	Ken has arrived in Kyoto.
凱莉沒上體育課就回家了。	Kelly cut physical education and went home.
肯尼亞曾經是英國的殖民地。	Kenya used to be a British colony.
你對這場比賽有甚麼感想？	How did you feel about the game?
我从小就梦想着做一名糕点师。	From childhood I dreamed of being a pastry cook.
找蛋糕也没用，我已经吃完了。	It is no use looking for the cake; I already ate it.
再來點蛋糕嗎？	Would you care for some more cake?
凱特使她的家人離家出走。	Kate made her family leave home.
凱特還沒到嗎？	Hasn't Kate arrived yet?
凱特看了克里斯一眼，然後不理睬他，使他感到痛苦。	Kate glanced at Chris and then ignored him, making him feel miserable.
凱特的父親從車站走回家。	Kate's father walks home from the station.
有位凱先生想見你。	There's a Mr Kay wants to see you.
每个月还清信用卡负债很重要。	It makes sense to pay off your credit card balance every month.
我們在夏威夷渡過了聖誕。	We stayed in Hawaii over Christmas.
我能不能够订一个圣诞节时去夏威夷的位子?	Can I reserve a seat to Hawaii for Christmas?
聖誕節快到了，生意也好了點。	With the approach of Christmas, business improved somewhat.
祝你圣诞节快乐。	I wish you a Merry Christmas.
加入我們的俱樂部嗎？	Will you join our club?
雲愈來愈多，可能快下雨了。	It's getting cloudy. It may rain soon.
據說鯨魚以前是在陸地上生活的。	Whales are said to have lived on land long ago.
車胎被釘子刺穿了。	A nail penetrated the car tyre.
希臘人以前是信奉多神的民族。	The Greeks used to worship several gods.
8点那班车今天早到了。	The eight o'clock bus was early today.
卡羅正在學習西班牙語。	Carol is studying Spanish.
凱西, 請讓開一下。	Cathy, please stay out of my way for a while.
凱西也去了嗎？	Did Cathy go, too?
Cathy 會說法文和德文。	Cathy can speak French and German.
你看起來很疲倦。	You look tired.
你們都準備好了嗎?	Are you all ready?
昨天是星期天，所以我睡了一整天的覺。	I slept all day yesterday, because it was Sunday.
狐狸躲在了空心樹裏面。	The fox hid in the hollow tree.
我覺得我們可以做朋友。	I think we can be friends.
他一定很愛你。	He must love you.
我會非常想念你。	I'll miss you so much.
基頓把磁鐵放在他的鴿子的頭上。	Keeton put magnets on the heads of his pigeons.
癌症如果在第一阶段被发现的话是很容易治愈的。	Cancer can be cured easily if it is found in its first phase.
癌症是人类的大敌。	Cancer is a great enemy of humanity.
這可憐的女孩瞎了。	The poor girl went blind.
凱倫在跳蚤市場買了很多東西。	Karen bought a lot of things at the flea market.
他很可能會被解僱。	He may well be fired.
卡洛斯等了一會兒。	Carlos waited a moment.
卡拉OK對減輕壓力有益。	Karaoke is good for reducing stress.
你有照相机吗？	Do you have a camera?
帶了相機也用不著。	There's no point in taking a camera.
自助餐廳是一種自助式的餐廳。	A cafeteria is a self-service style restaurant.
今天有不少学生缺课。	Quite a few students are absent today.
不少學生逃學了。	Quite a few students played truant from school.
有不少人在那裏。	A good many people were there.
去加拿大渡蜜月要花很多錢。	A honeymoon in Canada costs a lot of money.
加拿大比日本大。	Canada is larger than Japan.
加拿大在美國的北面。	Canada is on the north side of America.
他們在加拿大說法語嗎？	Do they speak French in Canada?
在加拿大的人說法語和英語。	Both French and English are spoken in Canada.
他們在名古屋住過一段時間。	At one time they lived in Nagoya.
你以前可以從這裡看到教堂。	You used to be able to see the church from here.
交通被山崩所阻斷。	Traffic was blocked by a landslide.
谁躲在帘子后面？	Who is hiding behind the curtain?
我很榮幸能見到你。	I am honored to meet you.
只要給我你的姓名和住址。	Just give me your name and address.
母親無意中握住了椅子。	Unconsciously my mom took hold of the chair.
你母親在家嗎？	Is your mother at home?
給母親責罵的時候不要回嘴。	You mustn't answer your mother back when she scolds you.
浴缸已經準備好了。	The bath is ready.
是时候洗个澡了。	It's time to take a bath.
我正在洗澡的時侯電話響了。	When I was taking a bath, the telephone rang.
世上沒有甚麼東西比泡熱水浴更舒服的了。	There is nothing as relaxing as lying in a hot bath.
父親買了部相機給我。	Dad bought me a camera.
請你父親幫你。	Ask your dad to help you.
祝令尊早日康復。	My wishes for your father's rapid recovery.
爸爸回到家的時候，我正在看電視。	When Dad came home, I was watching TV.
老人們很早就起床。	Old people get up very early.
他們不只是洗去汗水、汙垢和鎮日的操勞，同時也沉浸在閒話家常日常生活當中。	They not only washed off the sweat, dirt and cares of the day in the hot water, but also enjoyed gossiping about everyday affairs.
是你準備好茶的時候了。	It's about time you got the tea ready.
我们用喝茶的时间谈谈，好吗？	Let's talk over a cup of tea, shall we?
你喜欢喝茶；还是咖啡？	Which would you rather have, tea or coffee?
我要控告你。	I will sue you.
我想你也會喜歡的。	I think you'll like it too.
她照亮你的世界。	She sets your world alight.
我就指望你了。	I'm counting on you.
你喝酒吗？	Do you drink alcohol?
讓我來幫你吧。	Let me help you.
謝謝你幫忙。	Thank you for your assistance.
厕所在哪里？	Where's the restroom?
我希望没打扰到你吧？	I hope I'm not disturbing you.
请让我到火车站去接你的姐姐。	Please let me pick up your sister at the station.
节日和考试碰巧在同一天。	The date of the festival coincides with that of the exam.
我去了一家什錦燒店吃東西，所以身上的衣服都沾上了一股油味。	My clothes have an oily smell because I ate at an okonomiyaki place.
按口味加鹽和胡椒粉。	Add salt and pepper to taste.
你愛坐哪裡就坐哪裡。	Sit wherever you like.
這條問題你大概已經聽過很多次了，但我暫時還想不到別的來問你。	I'm sure people ask you this question all the time, but it's all that comes to mind right now.
你哥哥結婚了，不是嗎？	Your brother got married, didn't he?
如果你有錢的話，借點給我吧。	If you have any money, please lend me some.
只借錢給會還錢的人。	Lend money only to such as will repay it.
錢要花很長的時間來賺, 但你可以一下子就花掉它了。	Money takes a long time to earn, but you can spend it in no time.
我們有一個顧客專用的停車場。	We have a parking lot for the customers.
先生，您把您的打火机留在桌子上了。	Sir, you have left your lighter on the table.
讓我們從最後一行開始吧。	Let's begin at the last line but one.
柳橙汁或香檳?	Orange juice or champagne?
你白費力氣了。	You're barking up the wrong tree.
我上課的時候放屁，被老師趕出了班房。	I farted in class and the teacher threw me out.
荷蘭語與德語關係密切。	Dutch is closely related to German.
這真的跟我所預期的不同。	It's really different from what I expected.
玩具部門在第五層。	The toy department is on the fifth floor.
我會使你成為一個男子漢。	I will make a man of you.
你对你的开场白很满意。	You're satisfied with your prologue.
早安，邁克。	Good morning, Mike.
爸！媽！我有個好消息要告訴你們！	Dad! Mom! I have some great news for you!
你找錯了零錢給我。	You gave me the wrong change.
也許你會成功。	Maybe you'll succeed.
我的叔叔給了我一本書。	My uncle gave me a book.
我叔叔在車站附近有一家花店。	My uncle has a flower shop near the station.
我叔叔給了我這支錶。	My uncle gave me the watch.
我叔叔住在西班牙的首都马德里。	My uncle lives in Madrid, the capital of Spain.
祖父的年齡比我大五倍。	My grandfather is five times as old as I am.
非常感謝你幫忙。	Thank you very much for your help.
極光是極地特有的自然現象。	The aurora is a phenomenon characteristic of the Polar Regions.
整體而言，這個事件是成功的。	On the whole, the event was successful.
你為甚麼不把摩托車拿去修理？	Why don't you have your motorcycle fixed up?
在澳洲的人說英語。	English is spoken in Australia.
鸚鵡懂得模仿人類說話。	Parrots imitate human speech.
鸚鵡會模仿人的聲音。	A parrot can mimic a person's voice.
電梯內不准吸煙。	You may not smoke in the elevator.
我在電梯裏嗅到煙味。	I smell smoke in the elevator.
女王伊麗莎白一世於1603年去世。	Queen Elizabeth I passed away in 1603.
Emi將學習英語。	Emi will study English.
爱迪生不是个优秀的学生。	Edison was not a bright student.
是。我也是这么想的。	Yeah. I think so, too.
甚麼？現在才十一點？還有一個小時才吃飯呢。	What? It's only eleven? We still have an hour to go before lunch.
是的，他幾乎和我一樣高。	Yes, he's almost as tall as I am.
艾美努力地站起來。	Amy made an effort to stand up.
艾美每天早上走路到車站。	Amy walks to the station every morning.
我想要一輛有空調的小型車。	I want a compact car with an air conditioner.
现今人们没有空调无法生活。	Without an air conditioner, people nowadays cannot live.
我母親肯定會反對。	My mother is certain to say no.
我的兒子還不懂加法。	My boy can't do addition properly yet.
我們的車配備了空調。	Our car is equipped with air conditioning.
白兔喜歡吃胡蘿蔔。	Rabbits like to eat carrots.
白兔的耳朵比狐狸長。	The ears of a rabbit are longer than those of a fox.
威斯特夫人正在忙碌地準備早餐。	Mrs. West is busy getting breakfast ready.
唔。我有預感我走哪邊都會迷路。	Hmm. I have a feeling I'm going to get lost whichever road I take.
印度是世界第七大的國家。	India is the seventh largest country in the world.
由于诸多不幸因素，单亲家庭在增长中。	Due to a number of unfortunate causes, one-parent families are on the increase.
不，谢谢，我饱了。	No more, thank you. I'm full.
才不呢，我想他那樣做只不過是想哄老婆高興。	No, I think he just does those things because he wants to please his wife.
別忘了這年頭好工作已經很難找了。	Don't forget that good jobs are very hard to come by these days.
就算你多焦急，也不能幫上甚麼忙。	No matter how much you hurry your effort is just a drop in the bucket.
事情已經發生了，現在怪他也沒有用。	It is no use blaming him for the accident now.
狗對著這個陌生男子咆哮。	The dog growled at the strange man.
你什么时候旅游回来的啊？	When did you get back from your trip?
你甚麼時候去，他也會在家。	You will find him home whenever you call.
無論我甚麼時候打給他，他也不在家。	Whenever I call, he is out.
没有人知道地震何时会来。	Nobody knows when the earthquake will occur.
戰爭隨時可能爆發。	War may break out at any moment.
沒有人知道戰爭何時會完結。	Nobody can foresee when the war will end.
请通知我何时开始。	Please inform me when to start.
你什么时候才会准备好出发？	When will you get ready to leave?
他們何時抵達?	When will they arrive?
你甚麼時候出發去倫敦？	When are you going to leave for London?
你通常晚飯後做什麼?	What do you usually do after dinner?
永遠要對自己誠實。	Always be true to yourself.
無論何時都要扣好安全帶。	Fasten your seat belt at all times.
我會永遠愛你。	I will love you forever.
祝你們婚姻長長久久、永浴愛河。	I wish you a long and happy married life.
我們準備離開。	We're ready to leave.
你可以隨時用我的詞典。	You may always use my dictionary.
你一把它放進去，就不能把牛奶和咖啡分開了。	You cannot separate the milk from the coffee once you put it in.
誰會相信你？	Can anyone believe you?
你怎么敢这样跟我说话！	How dare you speak to me like that!
你現在不好好儲蓄金錢的話，終有一天會後悔的。	Some day you will come to realize the importance of saving.
他總有一天會為此感到愧疚的。	He will be sorry for it some day.
把椅子挪一挪靠近桌子。	Move the chair nearer to the desk.
再拿兩三把椅子來吧。	Bring a couple more chairs.
無論如何，我也盡了我的責任。	In any case, I did my duty.
停雨時我無論如何都會出外。	At any rate I will go out when it stops raining.
英國人是不會用這樣的字的。	An Englishman would not use such a word.
英式英語和美式英語在很多地方上有所不同。	British English differs from American English in many ways.
英式英語的「to get the sack」是被解僱的意思。	In British English, "to get the sack" means to be fired from your job.
英國的氣候和北海道很相似。	The climate of England is similar to that of Hokkaido.
英國人把貨車叫作「lorry」。	In Britain a truck is referred to as a lorry.
從英國乘船到印度，以前需要六個月的時間。	The voyage from England to India used to take 6 months.
生活在這個世界裏，懂得發泄是十分重要的。	It's very important to know how to let off steam, living in this world.
學生不准進入這個房間。	No student is allowed to enter the room.
耶稣是圣母玛丽亚所生。	Jesus was born of Mary.
好工作似乎愈來愈難找了。	It seems to be becoming hard to get a good job.
当然。祝你好运！	Sure. Good luck!
你聖誕過得開心嗎？	Did you have a nice Christmas?
Ann 送了這份禮物給我。	Ann gave me this present.
善待安。	Be nice to Ann.
對不起，我太無理了。	I'm sorry I was so rude.
你是怎麼認識那個好女孩的？	How did you come to know such a wonderful girl?
我竟然蠢得被這麼簡單的謊話騙倒了！	How foolish I was not to discover that simple lie!
她不自豪她所有的優點。	With all her merits she was not proud.
安德森也很怕狗的。	Andersen was afraid of dogs, too.
安迪一定練習得很辛苦。	Andy must have practiced very hard.
安迪是精通法語和德語。	Andy is master of French and German.
你現在這個年紀，穿成這個樣子，會給人取笑的。	If you dress like that at your age, you'll make a fool of yourself.
這封信是十分匆匆忙忙地寫的，所以有不少筆誤。	Being written in great haste, this letter has quite a few mistakes.
沒有比這更壞的了。	Nothing can be worse than that.
这些照片是她的。	Those photos are hers.
那是我们的学校。	That is our school.
那是我的錯。	That was my mistake.
那是一次寶貴的經驗。	That was a valuable experience.
那不是老虎。	That is not a tiger.
我在一間貿易公司工作。	I'm working for a trading firm.
有一天, 夏目漱石在倫敦迷路了。	One day, Natsume Soseki was lost in London.
有一天，警方突擊搜捕了一個娼妓集團，而她正是被捕的人的其中一個。	One day, the police raided a whole group of prostitutes and the girl was among them.
對某人有利的對另外的人未必有利。	One man's meat is another man's poison.
有個女孩打了電話給我。	A girl phoned me.
了解一个国家最好的方法是亲自去看一看。	The best way to know what a country is like is to go and see it with your own eyes.
我想到了一个主意。	An idea came to me.
酒的消费每年都在上升。	Alcohol consumption is increasing every year.
愛麗絲笑了。	Alice smiled.
愛麗絲可能會來。	Alice may possibly come.
Alice 不知道書本放了在哪裏，於是便去問母親。	Alice, not knowing where to find the book, asked her mother where it was.
每一個孩子都應該享有平等的學習機會。	It is essential that every child have the same educational opportunities.
你應該好好利用一切的機會。	You should avail yourself of every opportunity.
我们已经尝试了所有可能的方法。	We tried all means possible.
我到处都看了，可还是没找到我的皮夹。	I have looked everywhere, but I can not find my wallet.
她摸索著一張紙。	She fumbled with a piece of paper.
綾有充分的理由能說流利的德語。	Aya has good reason to speak perfect German.
因為出生在美國，Taro英語講得很好。	Born in America, Taro speaks good English.
美國的石油資源十分豐富。	America abounds in oil.
美国是一个自称没有社会阶层的国家。	America likes to claim that it is a "classless" society.
美國的太空科技十分先進。	America is ahead in space technology.
美國在一八六三年廢除了奴隸制度。	America did away with slavery in 1863.
美國在1492年被哥倫布發現。	America was discovered by Columbus in 1492.
死刑在美国的很多州都被废除了。	The death penalty had been done away with in many states in the USA.
美國的兒童聽著這些話長大。	American children grow up hearing those words.
美國公司正在日本經濟中努力尋找利基點。	U.S. companies are working to find a niche in the Japanese economy.
我感觉困得几乎不能睁开我的眼睛了。	I felt so sleepy that I could hardly keep my eyes open.
別太操心了，不然會掉頭髮的。	Don't worry too much, or you'll go bald.
