我們試試看！	我們 試試看 ！
太暗了，沒法看得清楚。	太 暗 了 ， 沒法 看得清 楚 。
他連自己的名字也不會寫。	他 連 自己的 名字 也 不會 寫 。
每個母親都疼愛自己的孩子。	每個 母親 都 疼愛 自己的 孩子 。
逃避現實。	逃避現實 。
你得学习刻苦。	你得 学习 刻苦 。
會議將在東京舉行。	會議 將 在 東京 舉行 。
他童年時去過巴黎三次。	他 童年 時 去過 巴黎 三次 。
昨晚我在餐廳裏踫見老師。	昨晚 我 在 餐廳 裏 踫 見 老師 。
他壓低嗓門對她說：「我愛你。」	他 壓低 嗓門 對 她 說 ： 「 我 愛 你 。 」
我想喝點東西。	我 想 喝點 東西 。
這塊肉烤得不錯。	這塊 肉 烤 得不 錯 。
就算你不喜歡，你也要負責管理。	就 算 你 不喜歡 ， 你 也 要 負責 管理 。
Sean 和 Conner 長得真像！	Sean 和 Conner 長得 真 像 ！
你是中學學生嗎？	你是 中學 學生 嗎 ？
這條領帶和那件上衣很配。	這條 領帶 和 那件 上衣 很 配 。
我應該不能再見到他了。	我 應該 不能 再見 到 他 了 。
John 和 Jane 是兩夫婦。	John 和 Jane 是 兩 夫婦 。
你喜歡不喜歡也得做。	你 喜歡 不喜歡 也 得做 。
今天的最低氣溫是三度。	今天 的 最低 氣溫 是 三度 。
從小開始我就很喜歡讀書，那時有的錢雖然不多，但也都全花在書本上。	從小 開始 我 就很 喜歡 讀書 ， 那時 有的 錢 雖然 不多 ， 但 也 都 全 花在 書本 上 。
我十八岁。	我 十八岁 。
别忘了明天七点到这里来。	别 忘了 明天 七点 到 这里 来 。
时间飞逝。	时间 飞逝 。
你父亲在哪儿？	你 父亲 在哪 儿 ？
你爸呢？	你 爸 呢 ？
我不会讲英语，更不用说德语了。	我 不会 讲 英语 ， 更不用说 德语 了 。
我父亲戒烟了。	我 父亲 戒烟 了 。
电影已经开始了吗？	电影 已经 开始 了 吗 ？
年复一年，污染问题变得越来越严重了。	年复一年 ， 污染 问题 变得 越来越 严重 了 。
这个暖气不能让那个大房间热起来。	这个 暖气 不能 让 那个 大房 间 热 起来 。
富士山顶盖满了雪。	富士山 顶盖 满了 雪 。
我带他出去散了散步。	我 带 他 出去 散了 散步 。
请回答我的问题。	请 回答 我的 问题 。
萝卜青菜各有所爱。	萝卜 青菜 各有 所爱 。
现在往回走太晚了。	现在 往回 走 太晚 了 。
她抛弃了她的孩子。	她 抛弃 了 她的 孩子 。
他穿着一件蓝色上衣。	他 穿着 一件 蓝色 上衣 。
我能用旅行支票付吗？	我 能用 旅行支票 付 吗 ？
比起淡咖啡，我更喜欢浓咖啡。	比起 淡 咖啡 ， 我 更喜欢 浓 咖啡 。
蜡烛自己灭了。	蜡烛 自己 灭 了 。
浅草寺那儿有很多人。	浅 草 寺 那儿 有 很多人 。
他的要求很合理。	他的 要求 很 合理 。
他們從來沒有遇過這樣的問題，所以不知道怎樣處理才好。	他們 從來沒有 遇 過 這樣 的 問題 ， 所以 不知道 怎樣 處理 才 好 。
我家前面有一間書店。	我家 前面 有 一間 書店 。
他是我來到之前死的。	他 是 我 來到 之前 死的 。
我挣扎着挤出地铁。	我 挣扎 着 挤出 地铁 。
我姊姊是個英語教師。	我 姊 姊 是 個 英語 教師 。
我對這件事感到十分滿意。	我 對 這件 事 感到 十分滿意 。
你為甚麼不隨遇而安呢？	你 為甚麼 不隨 遇 而 安 呢 ？
怎麼會有人認為不懂英語就不能生存？	怎麼 會有 人 認為 不懂 英語 就不能 生存 ？
他們正在調查這件事。	他們 正在 調查 這件 事 。
一時失言常常會帶來意想不到的結果。	一時 失言 常常 會 帶來 意想不到 的 結果 。
我來登記之前你可以先幫我看管行李嗎？	我 來 登記 之前 你 可以 先 幫我 看管 行李 嗎 ？
這些黏液可以當膠水用。	這些 黏液 可以 當 膠水 用 。
她的誠實是無庸置疑的。	她的 誠實 是 無庸置疑 的 。
快到七時了。我們要上學了。	快到 七時 了 。 我們 要 上學 了 。
誰是這間房子的主人？	誰 是 這間 房子 的 主人 ？
你右邊襪子倒轉穿了。	你 右邊 襪子 倒轉 穿 了 。
你很快就會習慣新工作了。	你 很快 就 會 習慣 新 工作 了 。
電腦是最近才發明的。	電腦 是 最近 才 發明 的 。
他們的煩惱是由一件瑣碎的事而起的。	他們的 煩惱 是 由 一件 瑣碎 的 事 而起 的 。
你的計劃一定會成功的。	你的 計劃 一定 會 成功 的 。
有人說電視上的卡通本身是有教育意義的。	有 人 說 電視 上 的卡 通 本身 是 有 教育 意義 的 。
按口味加鹽和胡椒粉。	按 口味 加鹽 和 胡椒 粉 。
你只能怪責自己。	你 只能 怪 責 自己 。
我們無論如何也應該遵守法律。	我們 無論如何 也 應該 遵守 法律 。
只借錢給會還錢的人。	只 借錢 給 會 還錢 的 人 。
大熊貓只能在中國找到。	大熊貓 只能 在 中國 找到 。
你見過熊貓嗎？	你 見過 熊貓 嗎 ？
熊貓以竹為食。	熊貓 以 竹 為 食 。
玻璃杯內裝滿了牛奶。	玻璃杯 內裝 滿了 牛奶 。
如果我現在不做，就永遠也不會做。	如果 我 現在 不做 ， 就 永遠 也 不會 做 。
晚安。祝你做個好夢。	晚安 。 祝你 做個 好 夢 。
這首歌太感人了，使我不禁流下了眼淚。	這 首 歌 太 感人 了 ， 使 我 不禁 流下 了 眼淚 。
你對我的個性還不太清楚。	你 對 我的 個性 還不 太 清楚 。
也許你說得對。我一直都很自私。	也許 你 說得 對 。 我 一直 都 很 自私 。
樹被風吹倒了。	樹 被風 吹倒 了 。
你喜欢哪个就买哪个,但不能两个都买。	你 喜欢 哪个 就 买 哪个 , 但不 能 两个 都 买 。
土地价格每年都在上涨。	土地 价格 每年 都 在上 涨 。
他把门闩上。	他 把门 闩上 。
你終於成功找到工作了。	你 終於 成功 找到 工作 了 。
別走近那隻狗。	別走 近 那 隻 狗 。
你其實有沒有看過？	你 其實 有沒有 看過 ？
你有多少個兄弟姊妹？	你 有多 少 個 兄弟 姊妹 ？
Kate 的聲音明顯和其它女孩不同。	Kate 的 聲音 明顯 和 其它 女孩 不同 。
這本教科書不合時了。	這本 教科書 不合時 了 。
請隨便問問題。	請 隨便 問問 題 。
四乘以二等於八。	四 乘以 二等 於 八 。
我永遠不會忘記去年夏天到訪巴黎的經歷。	我 永遠 不會 忘記 去年 夏天 到訪 巴黎 的 經歷 。
快要考期末試了，所以我很忙。	快要 考 期末 試 了 ， 所以 我 很忙 。
如果當時買了那幅畫，我現在就是一個富翁了。	如果 當時 買了 那 幅 畫 ， 我 現在 就是 一個 富翁 了 。
重量級冠軍。	重量級 冠軍 。
英國人很少在火車上和陌生人搭訕。	英國人 很少 在 火車 上 和 陌生人 搭訕 。
他到底躲在甚麼地方呢？	他 到底 躲在 甚麼 地方 呢 ？
如果你不一起去的話，我也不想去了。	如果 你 不一 起 去的 話 ， 我 也 不想 去了 。
不久派對完結，大家也都回家去了。	不久 派對 完結 ， 大家 也 都 回家 去了 。
五十年前，人們作夢也不會想到有電視和電腦之類的東西。	五十 年前 ， 人們 作夢 也 不會 想到 有 電視 和 電腦 之類 的 東西 。
我通常九時睡覺。	我 通常 九時 睡覺 。
還有鹽嗎？	還有 鹽 嗎 ？
脫鞋。	脫鞋 。
我不能讓你和他出去。	我 不能 讓 你 和 他 出去 。
羅馬是座古城。	羅馬 是 座 古城 。
你走了我會很想你。	你 走了 我 會 很想 你 。
我們必須馬上實行這個計畫。	我們 必須 馬上 實行 這個 計畫 。
如果他在撞車前戴好了安全帶，現在就不會死了。	如果 他 在 撞車 前 戴好 了 安全帶 ， 現在 就 不會 死了 。
這裏離東京很遠。	這 裏 離 東京 很遠 。
她抬頭望向天空。	她 抬頭 望 向 天空 。
现在可以开始吃吗。	现在 可以 开始 吃 吗 。
再也吃不下了。	再也 吃 不下 了 。
我不能再吃了。	我 不能 再 吃 了 。
我想再睡一会。	我 想 再 睡 一会 。
我相信你是清白的。	我 相信 你是 清白 的 。
他被強迫簽了約。	他 被 強迫 簽了 約 。
他問銀行借了很多錢。	他 問 銀行 借了 很多 錢 。
他們完全沒有興趣。	他們 完全 沒有 興趣 。
他不知道該怎麼說。	他 不知道 該 怎麼 說 。
他和這件事扯上了關係。	他 和 這件 事 扯上 了 關 係 。
你們大概會以為她告訴了我她當時正在去探望生病的祖母。	你們 大概 會 以為 她 告訴 了 我 她 當時 正在 去 探望 生病 的 祖母 。
你怎麼解釋你缺席的原因？	你 怎麼 解釋 你 缺席 的 原因 ？
你一錯再錯，當然會被處罰。	你 一錯再錯 ， 當然 會被 處罰 。
前進兩步。	前進 兩步 。
一部分的錢被偷走了。	一部分 的 錢 被 偷走 了 。
你太依賴別人了。	你 太 依賴 別人 了 。
這本小說使無數女孩流下了眼淚。	這本 小說 使無 數 女孩 流下 了 眼淚 。
這班有五十個學生。	這 班 有 五十個 學生 。
Mary 微笑的臉上流露著喜悅的神情。	Mary 微笑 的 臉上 流露 著 喜悅 的 神情 。
他是游過英吉利海峽的唯一一個美國人。	他 是 游過 英 吉利 海峽 的 唯一 一個 美國人 。
就算你多焦急，也不能幫上甚麼忙。	就 算 你多 焦急 ， 也 不能 幫 上 甚麼 忙 。
他的感冒一定是好了。	他的 感冒 一定 是 好了 。
你在這裏住多久了？	你 在 這 裏 住 多久 了 ？
他們的衝突終於平息了。	他們的 衝 突 終於 平息 了 。
我不懂得游泳。	我 不懂 得 游泳 。
想不到怎樣回覆嗎？	想不到 怎樣 回覆 嗎 ？
Ken 不小心上錯了巴士。	Ken 不小心 上 錯了 巴士 。
他是唯一一個游過英吉利海峽的美國人。	他 是 唯一 一個 游過 英 吉利 海峽 的 美國人 。
我很喜欢看书。	我 很 喜欢 看书 。
實驗失敗了。	實驗 失敗 了 。
请后天来吧。	请 后天 来吧 。
我身无分文。	我 身无分文 。
我一点儿钱也没有。	我 一点儿 钱 也 没有 。
我们的狗待在狗窝里。	我们 的 狗 待在 狗窝 里 。
为什么你买裙子之前不试穿一下呢？	为什么 你 买 裙子 之前 不 试穿 一下 呢 ？
为了调查物价，成立了一个委员会。	为了 调查 物价 ， 成立 了 一个 委员会 。
他们的房子离火车站很远。	他们的 房子 离 火车站 很远 。
接下来做什么是我们的问题。	接下来 做 什么 是 我们 的 问题 。
那种鞋子用来登山是不行的。	那种 鞋子 用来 登山 是 不行 的 。
彼得爱上了那个女孩。	彼得 爱上 了 那个 女孩 。
我以为他会来。	我 以为 他 会 来 。
她现在对网球感兴趣。	她 现在 对 网球 感兴趣 。
他的预言可能会成真。	他的 预言 可能 会 成真 。
我们在院子里发现了一只可怜的小猫。	我们 在 院子 里 发现 了 一只 可怜 的 小猫 。
这架飞机早上8点起飞。	这架 飞机 早上 8 点 起飞 。
我非常抱歉。	我 非常 抱歉 。
我这个月要减少开支。	我 这个月 要 减少 开支 。
請不要這樣打斷我說話。	請 不要 這樣 打斷 我 說話 。
請把他確實的地址告訴我。	請 把 他 確實 的 地址 告訴 我 。
未雨綢繆。	未雨綢繆 。
兩年前我完全不懂得打籃球。	兩年 前 我 完全 不懂 得 打 籃球 。
這是我見過最大的貓。	這 是 我 見過 最大 的 貓 。
洗衣機是個絕妙的發明。	洗衣機 是 個 絕妙 的 發明 。
他冷酷的性格使朋友們一個一個地疏遠了他。	他 冷酷 的 性格 使 朋友們 一個 一個 地 疏遠 了 他 。
金錢在政界是十分重要的。	金錢 在 政界 是 十分重要 的 。
電梯在哪裏？	電梯 在哪 裏 ？
她得知父親突然離去的消息時，簡直傷透了心。	她 得知 父親 突然 離去 的 消息 時 ， 簡直 傷 透了 心 。
你有計劃嗎？	你 有計劃 嗎 ？
因為天雨關係，棒球比賽被取消了。	因為 天 雨 關 係 ， 棒球 比賽 被 取消 了 。
把收音機調大聲點。我聽不清楚。	把 收音機 調 大聲點 。 我 聽不 清楚 。
我的家離這裏只有一英里。	我的 家 離 這 裏 只有 一 英里 。
凱特的臉色這麼差，一定是生病了。	凱特 的 臉色 這麼 差 ， 一定 是 生病 了 。
巴士上有個老人坐在我旁邊。	巴士 上有 個 老人 坐在 我 旁邊 。
很快就會放睛了吧。	很快 就 會 放 睛 了吧 。
但他沒有遵守承諾。	但 他 沒有 遵守 承諾 。
這間酒店的交通位置很方便。	這間 酒店 的 交通 位置 很 方便 。
英語不是一朝一夕就能學會的。	英語 不是 一朝一夕 就 能學 會的 。
這藥治好了我的感冒。	這 藥 治好 了 我的 感冒 。
你讓我想起了你的父親。	你讓 我 想起 了 你的 父親 。
雨停了嗎？	雨停了 嗎 ？
布朗夫人寫了一本關於政治的書。	布朗 夫人 寫了 一本 關於 政治 的 書 。
不好意思，我失陪一下。	不好意思 ， 我 失陪 一下 。
這房間內嚴禁吸煙。	這 房間 內 嚴禁 吸煙 。
女士优先。	女士 优先 。
请和夫人一起来吧！	请 和 夫人 一起 来吧 ！
我不敢想象没有你的日子.	我 不敢 想象 没有 你的 日子 .
牛奶使我们身体强健。	牛奶 使 我们 身体 强健 。
在这条河里游泳很危险。	在 这条 河里 游泳 很 危险 。
住在这里的人是我们的朋友。	住在 这里 的 人 是 我们 的 朋友 。
你想我们先结婚还是先生孩子？	你 想我 们 先 结婚 还是 先生 孩子 ？
我喜欢所有漂亮的东西。	我 喜欢 所有 漂亮 的 东西 。
我们的足球队打败了市里所有其他队。	我们 的 足球队 打败 了 市里 所有 其他 队 。
我的英语书不多于10本。	我的 英语 书 不多 于 10 本 。
我会弹钢琴。	我 会 弹 钢琴 。
我爸爸刚出去。	我爸 爸 刚 出去 。
这首诗混合了诗歌和散文。	这 首 诗 混合 了 诗歌 和 散文 。
他正在找一份好工作。	他 正在 找 一份 好 工作 。
他每天都看电视。	他 每天 都看 电视 。
他错过了最后一班火车。	他 错过 了 最后 一班 火车 。
她建议搞一个派对。	她 建议 搞 一个 派对 。
你一次只能做一件事。	你 一次 只能 做 一件 事 。
他决心去英国。	他 决心 去 英国 。
我肯定他可以活到90岁。	我 肯定 他 可以 活到 90 岁 。
我觉得冷。	我 觉得 冷 。
10分钟后，他们换了个新话题。	10 分钟 后 ， 他们 换了 个 新 话题 。
请您把烟弄熄。	请您 把 烟 弄熄 。
他已经后悔了。	他 已经 后悔 了 。
为世界的未来考虑对我们来说很重要。	为 世界 的 未来 考虑 对我们来说 很重 要 。
我碰巧在公交车站遇到了她。	我 碰巧 在 公交车 站 遇到 了 她 。
如果他继续喝太多酒，他迟早会生病的。	如果 他 继续 喝 太多 酒 ， 他 迟早 会 生病 的 。
他休息了一会儿。	他 休息 了 一会儿 。
她把我变疯了。	她 把 我 变 疯了 。
他每天都打垒球。	他 每天 都 打 垒球 。
爸爸不太吃水果。	爸爸 不太 吃水 果 。
那帮不到你。	那 帮 不到 你 。
您介不介意我把灯关了？	您 介 不介意 我 把 灯 关了 ？
他非常喜欢英语。	他 非常 喜欢 英语 。
我们今晚出去吃怎么样？	我们 今晚 出去 吃 怎么样 ？
老板预支了他两周的薪水。	老板 预支 了 他 两周 的 薪水 。
我知道他的样子，但不知道他的名字。	我 知道 他的 样子 ， 但不 知道 他的 名字 。
我刚到。	我 刚到 。
要避免得感冒，多补充点维生素C。	要 避免 得 感冒 ， 多 补充 点 维生素 C 。
一分钟有六十秒。	一分钟 有 六十 秒 。
我說是「為了地球的環境」，但其實是「為了住在地球上的人類」。	我 說是 「 為了 地球 的 環境 」 ， 但 其實 是 「 為了 住在 地球上 的 人類 」 。
鸟有翅膀。	鸟 有 翅膀 。
对不起，我爱你。	对不起 ， 我 爱 你 。
我沒耐性。	我 沒 耐性 。
無論發生甚麼事也要保持冷靜。	無論 發生 甚麼 事 也 要 保持 冷靜 。
很久以後我才明白到教育兒童有多重要。	很久 以 後 我 才 明白 到 教育 兒童 有多 重要 。
他到了四時以後才有空。	他 到了 四時 以 後 才 有空 。
你们学校真好，还帮你们报销来回的机票。	你们 学校 真好 ， 还 帮你 们 报销 来回 的 机票 。
他向她求婚，但她卻拒絕了。	他 向她 求婚 ， 但 她 卻 拒絕 了 。
如果你知道这个问题的答案的话,就请告诉我。	如果 你 知道 这个 问题 的 答案 的话 , 就 请 告诉 我 。
还不会走。	还不 会 走 。
你是学生吗？	你是 学生 吗 ？
所有的马都是动物, 但并非所有的动物都是马。	所有 的 马都 是 动物 , 但 并非 所有 的 动物 都 是 马 。
好恐怖，差点没把我魂吓飞。	好 恐怖 ， 差点 没把 我 魂 吓 飞 。
这座桥最大承重只有10吨。	这座 桥 最大 承重 只有 10 吨 。
我现在住在叔叔家.	我 现在 住在 叔叔 家 .
你是带着相机去吗？	你是 带着 相机 去 吗 ？
我的爱好是钓鱼。	我的 爱好 是 钓鱼 。
這裏近幾天都在下大雨。	這 裏 近幾天 都 在下 大雨 。
也就是說，他根本不想做。	也 就是說 ， 他 根本 不想 做 。
泳池是對公眾開放的。	泳池 是 對公 眾 開放 的 。
學習外國文化是件有趣的事。	學習 外國 文化 是 件 有趣 的 事 。
Betty 翹起雙腿，在椅子上坐著。	Betty 翹起 雙腿 ， 在 椅子 上坐 著 。
兩人成伴，三人不歡。	兩人 成 伴 ， 三人 不歡 。
我們在夏威夷渡過了聖誕。	我們 在 夏威夷 渡過 了 聖誕 。
非常感謝你幫忙。	非常 感謝 你幫 忙 。
Jim 和 Ron 跑得一樣快。	Jim 和 Ron 跑得 一樣 快 。
如果明天天氣好，我們就去打棒球。	如果 明天 天氣 好 ， 我們 就去 打 棒球 。
再沒有人相信他了。	再 沒有人 相信 他 了 。
那時她甚麼也不敢說。	那時 她 甚麼 也 不敢 說 。
Nisi credideritis,non intelligentis	Nisi credideritis , non intelligentis
鱼会游泳。	鱼 会 游泳 。
以他的薪水不会很富裕。	以他 的 薪水 不会 很富 裕 。
我不会输！	我 不会 输 ！
你不去吗？	你 不去 吗 ？
我正在跟谁讲话？	我 正在 跟 谁 讲话 ？
他無庸置疑是個偉大的藝術家。	他 無庸置疑 是 個 偉大 的 藝術家 。
這是你的錄音機嗎？	這 是 你的 錄音機 嗎 ？
那房子住了兩家人。	那 房子 住了 兩家 人 。
听天气预报说今晚有雨。	听 天气预报 说今 晚 有雨 。
我将让他帮我修鞋。	我 将 让 他 帮我 修鞋 。
我正在为今晚做预约。	我 正在 为 今晚 做 预约 。
今晚一定是好天。	今晚 一定 是 好天 。
他是法学院学生。	他 是 法学 院 学生 。
他得到了法学学位。	他 得到 了 法学 学位 。
他选择了律师作为他的终生职业。	他 选择 了 律师 作为 他的 终生 职业 。
以往，做一趟旅行比现在难多了。	以往 ， 做 一 趟 旅行 比 现在 难 多了 。
你觉得这部电影怎么样？	你 觉得 这部 电影 怎么样 ？
他在一家律师事务所工作了6年。	他 在 一家 律师事务所 工作 了 6 年 。
他对他儿子的行为感到不好意思。	他 对 他 儿子 的 行为 感到 不好意思 。
你坐在Meg和我的中间。	你 坐在 Meg和我的中间 。
她不但是一个演员，她还曾是一个著名的画家。	她 不但 是 一个 演员 ， 她 还 曾是 一个 著名 的 画家 。
我比他年纪还大。	我 比他 年纪 还 大 。
给他任何的忠告都是没有用的。	给 他 任何 的 忠告 都 是 没有 用的 。
分辨一个人是好人还是坏人不能仅凭外表。	分辨 一个 人 是 好人 还是 坏人 不能 仅凭 外表 。
他回去取他的帽子。	他 回去 取 他的 帽子 。
他不值得信任。	他 不值得 信任 。
每个人对音乐的审美都不一样。	每个人 对 音乐 的 审美 都不 一样 。
我没有任何可以和他说（这事）的朋友。	我 没有 任何 可以 和 他 说 （ 这 事 ） 的 朋友 。
对我来说，我并不反对你的观点。	对我来说 ， 我 并不 反对 你的 观点 。
我们对他的死亡表示遗憾。	我们 对 他的 死亡 表示 遗憾 。
在他／她的班里，谁跑得最快。	在 他 ／ 她的 班里 ， 谁 跑得 最快 。
你应该在写之前确认事实。	你 应该 在 写 之前 确认 事实 。
用200度把烤箱预热。	用 200 度 把 烤箱 预热 。
加一些天然酸奶和豆浆。	加 一些 天然 酸奶 和 豆浆 。
以我的角度来看，他是对的。	以 我的 角度 来看 ， 他 是 对的 。
我昨晚失眠了。	我 昨晚 失眠 了 。
真的吗？我在走之前把它关起来了。	真的 吗 ？ 我 在 走之 前 把 它 关起 来 了 。
Lucy确定要和那个流行乐歌手结婚了。	Lucy确定要和那个流行乐歌手结婚了 。
Nancy很像我的大姐。	Nancy很像我的大姐 。
对我来说，Nancy是个很难相处的女孩。	对我来说 ， Nancy是个很难相处的女孩 。
Nancy是最先来的女孩。	Nancy是最先来的女孩 。
Nancy昨天巧遇了她的一个老朋友。	Nancy昨天巧遇了她的一个老朋友 。
Nancy正在和她的朋友们聊天。	Nancy正在和她的朋友们聊天 。
Nancy一定要现在做她的作业吗？	Nancy一定要现在做她的作业吗 ？
Nancy想不想养一条狗？	Nancy想不想养一条狗 ？
这家店8店开门。	这家 店 8 店 开门 。
我回家换了衣服。	我 回家 换了 衣服 。
我想重新确认和你的预约。	我 想 重新 确认 和 你的 预约 。
我把录像借给ken了。	我 把 录像 借给 ken了 。
即使他有些小聪明，但是他并不智慧。	即使 他 有些 小聪明 ， 但是 他 并不 智慧 。
我在这里待到10点。	我 在这里 待到 10 点 。
雨天让我情绪低落。	雨天 让我 情绪 低落 。
让我们谈谈住在隔壁的男孩吧。	让我 们 谈谈 住在 隔壁 的 男孩 吧 。
你的脸色不好。	你的 脸色 不好 。
你看上去很憔悴。	你 看上去 很 憔悴 。
我希望你早点回来。	我 希望 你 早点 回来 。
除了雾我什么都看不见。	除了 雾 我 什么 都看 不见 。
他的棒球生涯到此结束。	他的 棒球 生涯 到此 结束 。
即使我承认你说的是真的，但这并不是借口。	即使 我 承认 你说 的 是 真的 ， 但 这 并不是 借口 。
这个项目我大致了解。	这个 项目 我 大致 了解 。
你必须在回答之前好好考虑。	你 必须 在 回答 之前 好好 考虑 。
他能跑得比我快。	他 能 跑得 比我 快 。
你午饭想吃面包吗？	你 午饭 想吃 面包 吗 ？
在这些男孩中，谁是Masao?	在 这些 男孩 中 ， 谁 是 Masao ?
这个学生自暴自弃了。	这个 学生 自暴自弃 了 。
我下周六有空。	我 下周 六 有空 。
我的建议源于我的经验。	我的 建议 源于 我的 经验 。
请稍等。	请 稍等 。
John启动了车。	John启动了车 。
这个工作他做得来。	这个 工作 他 做得 来 。
他的学生中没有一个可以解决这个问题。	他的 学生 中 没有 一个 可以解 决 这个 问题 。
请安静，在剧院中禁止喧哗。	请安 静 ， 在 剧院 中 禁止喧哗 。
我舅舅给我买的这本书。	我 舅舅 给 我 买的 这本 书 。
他承诺给这个地区带来新的工业，但是政治家很少完成他们的承诺。	他 承诺 给 这个 地区 带来 新的 工业 ， 但是 政治家 很少 完成 他们的 承诺 。
这些帽子中没有一个我喜欢的。	这些 帽子 中 没有 一个 我 喜欢 的 。
他们两个都是单身。	他们 两个 都 是 单身 。
我不想和一个陌生人分享旅馆房间。	我 不想 和 一个 陌生人 分享 旅馆 房间 。
我感觉我被强制帮助她。	我 感觉 我 被 强制 帮助 她 。
这份报告被承认存在失误。	这份 报告 被 承认 存在 失误 。
他拥有出国留学两年的特权。	他 拥有 出国 留学 两年 的 特权 。
他对蝴蝶很有研究。	他 对 蝴蝶 很 有 研究 。
飞机飞向东方。	飞机 飞向 东方 。
他们看起来很亲密。	他们 看起来 很 亲密 。
今晚你要是有空，来看我吧。	今晚 你 要是 有空 ， 来看 我 吧 。
我意识到这个可怕的地下室是唯一可以救我们命的地方。	我意 识到 这个 可怕 的 地下室 是 唯一 可以 救我 们 命 的 地方 。
住在车站附近有很多方便之处。	住在 车站 附近 有 很多 方便 之处 。
你记得那个女孩长得什么样子吗？	你 记得 那个 女孩 长得 什么样 子 吗 ？
即使我不同意，他坚持他的观点。	即使 我 不同意 ， 他 坚持 他的 观点 。
游戏开始变得有趣。	游戏 开始 变得 有趣 。
杯子易碎。	杯子 易碎 。
工人们抱怨他们的工作时间被延长了。	工人们 抱怨 他们的 工作 时间 被 延长 了 。
诱惑很难抵抗。	诱惑 很难 抵抗 。
你用完了把它放回去。	你 用完 了 把 它 放回 去 。
我姐妹在美国驻伦敦大使馆工作。	我 姐妹 在 美国 驻 伦敦 大使馆 工作 。
我的姐妹很苗条，我却有点超重。	我的 姐妹 很 苗条 ， 我 却有 点 超重 。
我姐妹在派对上唱了一首英文歌。	我 姐妹 在 派对 上 唱了 一首 英文 歌 。
我姐妹是一个很棒的打字员。	我 姐妹 是 一个 很 棒 的 打字员 。
我姐妹有一个漂亮的钢琴。	我 姐妹 有一个 漂亮 的 钢琴 。
我的姐姐弹吉他弹得很好。	我的 姐姐 弹吉他 弹 得很 好 。
我的姐妹总是把房间整理得很干净。	我的 姐妹 总是 把 房间 整理 得很 干净 。
我的姐妹减肥了一周还是放弃了。	我的 姐妹 减肥 了 一周 还是 放弃 了 。
我的姐妹有一头齐肩发。	我的 姐妹 有 一头 齐肩 发 。
我的姐妹从事英语教学工作。	我的 姐妹 从事 英语 教学 工作 。
他为此成功付出了很大代价。	他 为此 成功 付出 了 很大 代价 。
她的胳臂下面夹着一本书。	她的 胳臂 下面 夹着 一本 书 。
她的工作是保护孩子们安全过马路。	她的 工作 是 保护 孩子们 安全 过 马路 。
做一次文学讲座。	做 一次 文学 讲座 。
她在英文书写上很少犯错。	她 在 英文 书写 上 很少 犯错 。
越来越多的女人拥有自己的事业并实现和丈夫的经济独立。	越来越多 的 女人 拥有 自己的 事业 并 实现 和 丈夫 的 经济 独立 。
有钱能使鬼推磨的想法是错误的。	有钱能使鬼推磨 的 想法 是 错误 的 。
金钱可以买一切的想法是错误的。	金钱 可以买 一切 的 想法 是 错误 的 。
他们猎狐。	他们 猎 狐 。
请给我一杯水。	请 给 我 一杯 水 。
这是我父亲出生的地方。	这 是 我 父亲 出生 的 地方 。
这封信谁写的？	这封 信 谁 写的 ？
如果你要熬夜的话我会一直等你。	如果 你 要 熬夜 的话 我 会 一直 等你 。
克服弱点。	克服 弱点 。
晴天霹雳。	晴天霹雳 。
我想要更便宜点的双人间。	我 想要 更 便宜 点 的 双人 间 。
我今晚给你打电话。	我 今晚 给 你 打电话 。
他给出了三个错误答案。	他 给出 了 三个 错误 答案 。
20人以上。	20 人 以上 。
那人是谁？	那人 是 谁 ？
你的派对来了多少人？	你的 派对 来 了 多少 人 ？
这里非常热。	这里 非常 热 。
她出国的时候花销很大。	她 出国 的时候 花销 很大 。
我省吃简用为了买它们。	我省 吃 简 用为 了 买它 们 。
我不知道这个词什么意思。	我 不知道 这个 词 什么 意思 。
生日快乐，Muiriel!	生日 快乐 ， Muiriel !
这并不是因为我恨他，相反我爱他。	这 并不是 因为 我 恨 他 ， 相反 我 爱他 。
我后悔去过那里。	我 后悔 去过 那里 。
這台機器很佔空間。	這 台 機器 很 佔 空間 。
水井是可以取水的地方。	水井 是 可以 取水 的 地方 。
梦想成真。	梦想 成真 。
我不明白你想說甚麼。	我 不明 白 你 想說 甚麼 。
这个词对我很有用。	这个 词 对 我 很 有用 。
我知道她辞职的原因。	我 知道 她 辞职 的 原因 。
她推迟了去墨西哥的行程。	她 推迟 了 去 墨西哥 的 行程 。
她很少去像那样的地方。	她 很少 去 像 那样 的 地方 。
她很少出去。	她 很少 出去 。
她上学很少迟到。	她 上学 很少 迟到 。
她很少吃早餐。	她 很少 吃早餐 。
她很少迟到。	她 很少 迟到 。
她双眼紧闭。	她 双眼 紧闭 。
你退烧了吗？	你 退烧 了 吗 ？
他很早就离开父母家了。	他 很早 就 离开 父母 家 了 。
低温使水变成冰。	低温 使 水 变成 冰 。
他是多么幸运的人啊！	他 是 多么 幸运 的 人 啊 ！
你咳嗽吗？	你 咳嗽 吗 ？
这份工作在我能力范围之外.	这份 工作 在 我 能力 范围 之外 .
已将近十点了。该是睡觉的时候了。	已 将近 十点 了 。 该是 睡觉 的时候 了 。
我想学英语。	我 想 学 英语 。
